1,Санкт-Петербург,UTC+3,spb,1
2,Москва,UTC+3,,2
32,Краснодар,UTC+3,krd,3
26,Казань,UTC+3,kzn,4
21,Екатеринбург,UTC+5,ekb,5
55,Ростов-на-Дону,UTC+3,rnd,6
58,Самара,UTC+4,samara,7
45,Нижний Новгород,UTC+3,nn,8
73,Уфа,UTC+5,ufa,9
51,Пермь,UTC+5,perm,10
77,Челябинск,UTC+5,chel,11
46,Новосибирск,UTC+6,nsk,12
33,Красноярск,UTC+7,ksk,13
70,Тюмень,UTC+5,tumen,14
24,Иркутск,UTC+8,irk,15
16,Волгоград,UTC+3,vlg,16
13,Владивосток,UTC+10,vlad,17
74,Хабаровск,UTC+10,khb,18
18,Воронеж,UTC+3,vrn,19
29,Кемерово,UTC+7,kmv,20
5,Архангельск,UTC+3,arh,21
60,Саратов,UTC+3,saratov,22
41,Махачкала,UTC+3,mhl,23
64,Ставрополь,UTC+3,stl,24
69,Тула,UTC+3,tula,25
83,Ярославль,UTC+3,yar,26
7,Барнаул,UTC+6,barnaul,27
15,Владимир,UTC+3,vladimir,28
8,Белгород,UTC+3,belgorod,29
75,Ханты-Мансийск,UTC+5,khm,30
20,Грозный,UTC+3,groz,31
27,Калининград,UTC+2,kgd,32
42,Мурманск,UTC+3,mrk,33
6,Астрахань,UTC+3,astrahan,34
67,Тверь,UTC+3,tver,35
47,Омск,UTC+6,omsk,36
48,Оренбург,UTC+5,orenburg,37
11,Брянск,UTC+3,brnsk,38
28,Калуга,UTC+3,klg,39
23,Ижевск,UTC+4,izk,40
56,Рязань,UTC+3,rzn,41
82,Якутск,UTC+9,yakutsk,42
3,Абакан,UTC+7,abk,43
17,Вологда,UTC+3,vol,44
14,Владикавказ,UTC+3,vlk,45
22,Иваново,UTC+3,ivv,46
30,Киров,UTC+3,krv,47
10,Благовещенск,UTC+9,blago,48
72,Ульяновск,UTC+3,ulsk,49
37,Липецк,UTC+3,lpk,50
81,Южно-Сахалинск,UTC+10,uus,51
79,Чита,UTC+8,chita,52
76,Чебоксары,UTC+3,chbr,53
66,Тамбов,UTC+3,tambov,54
12,Великий Новгород,UTC+3,nov,55
50,Пенза,UTC+3,penza,56
71,Улан-Удэ,UTC+8,ulan-ude,57
35,Курск,UTC+3,kursk,58
62,Симферополь,UTC+3,sfl,59
49,Орёл,UTC+3,orel,60
68,Томск,UTC+6,tomsk,61
65,Сыктывкар,UTC+3,stkr,62
63,Смоленск,UTC+3,smk,63
31,Кострома,UTC+3,ksm,64
34,Курган,UTC+5,krn,65
43,Нальчик,UTC+3,nlk,66
52,Петрозаводск,UTC+3,ptzk,67
9,Биробиджан,UTC+10,brb,68
54,Псков,UTC+3,pskov,69
59,Саранск,UTC+3,srk,70
78,Черкесск,UTC+3,chsk,71
25,Йошкар-Ола,UTC+3,yol,72
40,Майкоп,UTC+3,mkp,73
61,Севастополь,UTC+3,svl,74
53,Петропавловск-Камчатский,UTC+12,ptkk,75
57,Салехард,UTC+5,sld,76
4,Анадырь,UTC+12,anadir,77
39,Магас,UTC+3,mgs,78
38,Магадан,UTC+10,mgn,79
36,Кызыл,UTC+7,kzl,80
80,Элиста,UTC+3,elista,81
19,Горно-Алтайск,UTC+6,g-alt,82
44,Нарьян-Мар,UTC+3,nrm,83
